gtfs_id,vehicle_no,service_sub_types
chennai_bus,J0098,"[""ORDI""]"
chennai_bus,J0099,"[""ORDI""]"
chennai_bus,J0100,"[""ORDI""]"
chennai_bus,J0101,"[""ORDI""]"
chennai_bus,J0102,"[""ORDI""]"
chennai_bus,J0103,"[""ORDI""]"
chennai_bus,J0105,"[""ORDI""]"
chennai_bus,J0106,"[""ORDI""]"
chennai_bus,J0107,"[""ORDI""]"
chennai_bus,J0108,"[""ORDI""]"
chennai_bus,J0109,"[""ORDI""]"
chennai_bus,J0110,"[""ORDI""]"
chennai_bus,J0111,"[""ORDI""]"
chennai_bus,J0112,"[""ORDI""]"
chennai_bus,J0113,"[""ORDI""]"
chennai_bus,J0114,"[""ORDI""]"
chennai_bus,J0115,"[""ORDI""]"
chennai_bus,J0118,"[""ORDI""]"
chennai_bus,J0119,"[""ORDI""]"
chennai_bus,J0120,"[""ORDI""]"
chennai_bus,J0121,"[""ORDI""]"
chennai_bus,J0122,"[""ORDI""]"
chennai_bus,J0123,"[""ORDI""]"
chennai_bus,J0124,"[""ORDI""]"
chennai_bus,J0125,"[""ORDI""]"
chennai_bus,J0126,"[""ORDI""]"
chennai_bus,J0127,"[""ORDI""]"
chennai_bus,J0128,"[""ORDI""]"
chennai_bus,J0129,"[""ORDI""]"
chennai_bus,J0130,"[""ORDI""]"
chennai_bus,J0131,"[""ORDI""]"
chennai_bus,J0132,"[""ORDI""]"
chennai_bus,J0133,"[""ORDI""]"
chennai_bus,J0134,"[""ORDI""]"
chennai_bus,J0136,"[""ORDI""]"
chennai_bus,J0137,"[""ORDI""]"
chennai_bus,J0140,"[""ORDI""]"
chennai_bus,J0141,"[""ORDI""]"
chennai_bus,J0142,"[""ORDI""]"
chennai_bus,J0143,"[""ORDI""]"
chennai_bus,J0145,"[""ORDI""]"
chennai_bus,J0146,"[""ORDI""]"
chennai_bus,J0147,"[""ORDI""]"
chennai_bus,J0148,"[""ORDI""]"
chennai_bus,J0149,"[""ORDI""]"
chennai_bus,J0150,"[""ORDI""]"
chennai_bus,J0151,"[""ORDI""]"
chennai_bus,J0152,"[""ORDI""]"
chennai_bus,J0153,"[""ORDI""]"
chennai_bus,J0155,"[""ORDI""]"
chennai_bus,J0156,"[""ORDI""]"
chennai_bus,J0157,"[""ORDI""]"
chennai_bus,J0158,"[""ORDI""]"
chennai_bus,J0159,"[""ORDI""]"
chennai_bus,J0160,"[""ORDI""]"
chennai_bus,J0162,"[""ORDI""]"
chennai_bus,J0163,"[""ORDI""]"
chennai_bus,J0164,"[""ORDI""]"
chennai_bus,J0166,"[""ORDI""]"
chennai_bus,J0167,"[""ORDI""]"
chennai_bus,J0168,"[""ORDI""]"
chennai_bus,J0169,"[""ORDI""]"
chennai_bus,J0170,"[""ORDI""]"
chennai_bus,J0171,"[""ORDI""]"
chennai_bus,J0172,"[""ORDI""]"
chennai_bus,J0173,"[""ORDI""]"
chennai_bus,J0174,"[""ORDI""]"
chennai_bus,J0175,"[""ORDI""]"
chennai_bus,J0176,"[""ORDI""]"
chennai_bus,J0177,"[""ORDI""]"
chennai_bus,J0178,"[""ORDI""]"
chennai_bus,J0179,"[""ORDI""]"
chennai_bus,J0180,"[""ORDI""]"
chennai_bus,J0181,"[""ORDI""]"
chennai_bus,J0182,"[""ORDI""]"
chennai_bus,J0183,"[""ORDI""]"
chennai_bus,J0184,"[""ORDI""]"
chennai_bus,J0185,"[""ORDI""]"
chennai_bus,J0186,"[""ORDI""]"
chennai_bus,J0187,"[""ORDI""]"
chennai_bus,J0188,"[""ORDI""]"
chennai_bus,J0189,"[""ORDI""]"
chennai_bus,J0190,"[""ORDI""]"
chennai_bus,J0191,"[""ORDI""]"
chennai_bus,J0192,"[""ORDI""]"
chennai_bus,J0193,"[""ORDI""]"
chennai_bus,J0194,"[""ORDI""]"
chennai_bus,J0195,"[""ORDI""]"
chennai_bus,J0196,"[""ORDI""]"
chennai_bus,J0197,"[""ORDI""]"
chennai_bus,J0198,"[""ORDI""]"
chennai_bus,J0199,"[""ORDI""]"
chennai_bus,J0200,"[""ORDI""]"
chennai_bus,J0201,"[""ORDI""]"
chennai_bus,J0202,"[""ORDI""]"
chennai_bus,J0203,"[""ORDI""]"
chennai_bus,J0204,"[""ORDI""]"
chennai_bus,J0205,"[""ORDI""]"
chennai_bus,J0206,"[""ORDI""]"
chennai_bus,J0207,"[""ORDI""]"
chennai_bus,J0208,"[""ORDI""]"
chennai_bus,J0209,"[""ORDI""]"
chennai_bus,J0210,"[""ORDI""]"
chennai_bus,J0211,"[""ORDI""]"
chennai_bus,J0212,"[""ORDI""]"
chennai_bus,J0213,"[""ORDI""]"
chennai_bus,J0214,"[""ORDI""]"
chennai_bus,J0215,"[""ORDI""]"
chennai_bus,J0216,"[""ORDI""]"
chennai_bus,J0217,"[""ORDI""]"
chennai_bus,J0218,"[""ORDI""]"
chennai_bus,J0219,"[""ORDI""]"
chennai_bus,J0220,"[""ORDI""]"
chennai_bus,J0221,"[""ORDI""]"
chennai_bus,J0222,"[""ORDI""]"
chennai_bus,J0223,"[""ORDI""]"
chennai_bus,J0224,"[""ORDI""]"
chennai_bus,J0225,"[""ORDI""]"
