gtfs_id,fleet_id,service_type,capacity,vehicle_type
chennai_bus,I1113,Ordinary,10,BUS
chennai_bus,I1114,Ordinary,10,BUS
chennai_bus,I1116,Ordinary,10,BUS
chennai_bus,I1117,Ordinary,10,BUS
chennai_bus,I1118,Ordinary,10,BUS
chennai_bus,I1120,Ordinary,10,BUS
chennai_bus,I1125,Ordinary,10,BUS
chennai_bus,I1126,Ordinary,10,BUS
chennai_bus,I1127,Ordinary,10,BUS
chennai_bus,I1128,Ordinary,10,BUS
chennai_bus,I1130,Ordinary,10,BUS
chennai_bus,I1131,Ordinary,10,BUS
chennai_bus,I1134,Ordinary,10,BUS
chennai_bus,I1135,Ordinary,10,BUS
chennai_bus,I1139,Ordinary,10,BUS
chennai_bus,I1140,Ordinary,10,BUS
chennai_bus,I1141,Ordinary,10,BUS
chennai_bus,I1143,Ordinary,10,BUS
chennai_bus,I1145,Ordinary,10,BUS
chennai_bus,I1147,Ordinary,10,BUS
chennai_bus,I1148,Deluxe,10,BUS
chennai_bus,I1149,Deluxe,10,BUS
chennai_bus,I1151,Ordinary,10,BUS
chennai_bus,I1152,Ordinary,10,BUS
chennai_bus,I1154,Ordinary,10,BUS
chennai_bus,I1155,Ordinary,10,BUS
chennai_bus,I1156,Ordinary,10,BUS
chennai_bus,I1158,Ordinary,10,BUS
chennai_bus,I1161,Ordinary,10,BUS
chennai_bus,I1164,Ordinary,10,BUS
chennai_bus,I1173,Ordinary,10,BUS
chennai_bus,I1174,Ordinary,10,BUS
chennai_bus,I1176,Ordinary,10,BUS
chennai_bus,I1177,Ordinary,10,BUS
chennai_bus,I1178,Ordinary,10,BUS
chennai_bus,I1181,Ordinary,10,BUS
chennai_bus,I1186,Ordinary,10,BUS
chennai_bus,I1187,Ordinary,10,BUS
chennai_bus,I1190,Ordinary,10,BUS
chennai_bus,I1191,Ordinary,10,BUS
chennai_bus,I1192,Ordinary,10,BUS
chennai_bus,I1277,Ordinary,10,BUS
chennai_bus,I1279,Ordinary,10,BUS
chennai_bus,I1280,Ordinary,10,BUS
chennai_bus,I1281,Ordinary,10,BUS
chennai_bus,I1285,Ordinary,10,BUS
chennai_bus,I1292,Ordinary,10,BUS
chennai_bus,I1293,Ordinary,10,BUS
chennai_bus,I1294,Deluxe,10,BUS
chennai_bus,I1298,Ordinary,10,BUS
chennai_bus,I1299,Ordinary,10,BUS
chennai_bus,I1302,Ordinary,10,BUS
chennai_bus,I1310,Ordinary,10,BUS
chennai_bus,I1311,Ordinary,10,BUS
chennai_bus,I1312,Ordinary,10,BUS
chennai_bus,I1314,Ordinary,10,BUS
chennai_bus,I1316,Ordinary,10,BUS
chennai_bus,I1319,Ordinary,10,BUS
chennai_bus,I1320,Ordinary,10,BUS
chennai_bus,I1321,Ordinary,10,BUS
chennai_bus,I1322,Ordinary,10,BUS
chennai_bus,I1323,Ordinary,10,BUS
chennai_bus,I1324,Ordinary,10,BUS
chennai_bus,I1325,Ordinary,10,BUS
chennai_bus,I1326,Ordinary,10,BUS
chennai_bus,I1328,Ordinary,10,BUS
chennai_bus,I1336,Ordinary,10,BUS
chennai_bus,I1337,Ordinary,10,BUS
chennai_bus,I1338,Ordinary,10,BUS
chennai_bus,I1342,Ordinary,10,BUS
chennai_bus,I1346,Ordinary,10,BUS
chennai_bus,I1347,Ordinary,10,BUS
chennai_bus,I1348,Ordinary,10,BUS
chennai_bus,I1349,Ordinary,10,BUS
chennai_bus,I1350,Ordinary,10,BUS
chennai_bus,I1352,Ordinary,10,BUS
chennai_bus,I1354,Ordinary,10,BUS
chennai_bus,I1357,Ordinary,10,BUS
chennai_bus,I1360,Ordinary,10,BUS
chennai_bus,I1361,Ordinary,10,BUS
chennai_bus,I1362,Ordinary,10,BUS
chennai_bus,I1368,Ordinary,10,BUS
chennai_bus,I1373,Ordinary,10,BUS
chennai_bus,I1378,Ordinary,10,BUS
chennai_bus,I1379,Deluxe,10,BUS
chennai_bus,I1381,Ordinary,10,BUS
chennai_bus,I1383,Ordinary,10,BUS
chennai_bus,I1384,Ordinary,10,BUS
chennai_bus,I1392,Ordinary,10,BUS
chennai_bus,I1393,Ordinary,10,BUS
chennai_bus,I1395,Ordinary,10,BUS
chennai_bus,I1398,Ordinary,10,BUS
chennai_bus,I1400,Ordinary,10,BUS
chennai_bus,I1406,Ordinary,10,BUS
chennai_bus,I1413,Ordinary,10,BUS
chennai_bus,I1416,Ordinary,10,BUS
chennai_bus,I1417,Ordinary,10,BUS
chennai_bus,I1420,Ordinary,10,BUS
chennai_bus,I1430,Ordinary,10,BUS
chennai_bus,I1431,Ordinary,10,BUS
chennai_bus,I1432,Ordinary,10,BUS
chennai_bus,I1433,Ordinary,10,BUS
chennai_bus,I1434,Ordinary,10,BUS
chennai_bus,I1435,Ordinary,10,BUS
chennai_bus,I1440,Ordinary,10,BUS
chennai_bus,I1442,Ordinary,10,BUS
chennai_bus,I1444,Ordinary,10,BUS
chennai_bus,I1445,Ordinary,10,BUS
chennai_bus,I1446,Ordinary,10,BUS
chennai_bus,I1448,Ordinary,10,BUS
chennai_bus,I1449,Ordinary,10,BUS
chennai_bus,I1451,Ordinary,10,BUS
chennai_bus,I1452,Ordinary,10,BUS
chennai_bus,I1453,Ordinary,10,BUS
chennai_bus,I1454,Ordinary,10,BUS
chennai_bus,I1455,Ordinary,10,BUS
chennai_bus,I1456,Ordinary,10,BUS
chennai_bus,I1458,Ordinary,10,BUS
chennai_bus,I1459,Ordinary,10,BUS
chennai_bus,I1460,Ordinary,10,BUS
chennai_bus,I1461,Ordinary,10,BUS
chennai_bus,I1462,Ordinary,10,BUS
chennai_bus,I1463,Ordinary,10,BUS
chennai_bus,I1464,Ordinary,10,BUS
chennai_bus,I1465,Ordinary,10,BUS
chennai_bus,I1466,Ordinary,10,BUS
chennai_bus,I1469,Ordinary,10,BUS
chennai_bus,I1470,Ordinary,10,BUS
chennai_bus,I1474,Ordinary,10,BUS
chennai_bus,I1475,Deluxe,10,BUS
chennai_bus,I1601,Ordinary,10,BUS
chennai_bus,I1602,Ordinary,10,BUS
chennai_bus,I1603,Deluxe,10,BUS
chennai_bus,I1604,Ordinary,10,BUS
chennai_bus,I1605,Ordinary,10,BUS
chennai_bus,I1607,Ordinary,10,BUS
chennai_bus,I1608,Ordinary,10,BUS
chennai_bus,I1609,Ordinary,10,BUS
chennai_bus,I1610,Ordinary,10,BUS
chennai_bus,I1611,Ordinary,10,BUS
chennai_bus,I1612,Ordinary,10,BUS
chennai_bus,I1613,Ordinary,10,BUS
chennai_bus,I1614,Ordinary,10,BUS
chennai_bus,I1615,Ordinary,10,BUS
chennai_bus,I1616,Ordinary,10,BUS
chennai_bus,I1618,Ordinary,10,BUS
chennai_bus,I1621,Ordinary,10,BUS
chennai_bus,I1622,Ordinary,10,BUS
chennai_bus,I1623,Ordinary,10,BUS
chennai_bus,I1624,Ordinary,10,BUS
chennai_bus,I1625,Ordinary,10,BUS
chennai_bus,I1626,Ordinary,10,BUS
chennai_bus,I1627,Ordinary,10,BUS
chennai_bus,I1636,Ordinary,10,BUS
chennai_bus,I1638,Ordinary,10,BUS
chennai_bus,I1639,Ordinary,10,BUS
chennai_bus,I1640,Ordinary,10,BUS
chennai_bus,I1644,Ordinary,10,BUS
chennai_bus,I1645,Ordinary,10,BUS
chennai_bus,I1646,Ordinary,10,BUS
chennai_bus,I1647,Ordinary,10,BUS
chennai_bus,I1651,Ordinary,10,BUS
chennai_bus,I1652,Ordinary,10,BUS
chennai_bus,I1653,Ordinary,10,BUS
chennai_bus,I1654,Ordinary,10,BUS
chennai_bus,I1655,Ordinary,10,BUS
chennai_bus,I1658,Ordinary,10,BUS
chennai_bus,I1659,Ordinary,10,BUS
chennai_bus,I1660,Ordinary,10,BUS
chennai_bus,I1661,Ordinary,10,BUS
chennai_bus,I1665,Ordinary,10,BUS
chennai_bus,I1666,Ordinary,10,BUS
chennai_bus,I1667,Deluxe,10,BUS
chennai_bus,I1668,Deluxe,10,BUS
chennai_bus,I1669,Ordinary,10,BUS
chennai_bus,I1671,Ordinary,10,BUS
chennai_bus,I1672,Ordinary,10,BUS
chennai_bus,I1673,Ordinary,10,BUS
chennai_bus,I1674,Ordinary,10,BUS
chennai_bus,I1675,Ordinary,10,BUS
chennai_bus,I1676,Ordinary,10,BUS
chennai_bus,I1677,Ordinary,10,BUS
chennai_bus,I1678,Ordinary,10,BUS
chennai_bus,I1680,Ordinary,10,BUS
chennai_bus,I1681,Deluxe,10,BUS
chennai_bus,I1682,Ordinary,10,BUS
chennai_bus,I1683,Ordinary,10,BUS
chennai_bus,I1684,Ordinary,10,BUS
chennai_bus,I1685,Ordinary,10,BUS
chennai_bus,I1686,Ordinary,10,BUS
chennai_bus,I1687,Ordinary,10,BUS
chennai_bus,I1688,Deluxe,10,BUS
chennai_bus,I1689,Ordinary,10,BUS
chennai_bus,I1690,Ordinary,10,BUS
chennai_bus,I1691,Ordinary,10,BUS
chennai_bus,I1692,Ordinary,10,BUS
chennai_bus,I1693,Ordinary,10,BUS
chennai_bus,I1694,Ordinary,10,BUS
chennai_bus,I1696,Ordinary,10,BUS
chennai_bus,I1697,Ordinary,10,BUS
chennai_bus,I1698,Ordinary,10,BUS
chennai_bus,I1699,Ordinary,10,BUS
chennai_bus,I1700,Express,10,BUS
chennai_bus,I1901,Ordinary,10,BUS
chennai_bus,I1902,Deluxe,10,BUS
chennai_bus,I1903,Ordinary,10,BUS
chennai_bus,I1905,Ordinary,10,BUS
chennai_bus,I1906,Ordinary,10,BUS
chennai_bus,I1907,Ordinary,10,BUS
chennai_bus,I1908,Ordinary,10,BUS
chennai_bus,I1909,Ordinary,10,BUS
chennai_bus,I1910,Ordinary,10,BUS
chennai_bus,I1911,Deluxe,10,BUS
chennai_bus,I1912,Ordinary,10,BUS
chennai_bus,I1913,Ordinary,10,BUS
chennai_bus,I1914,Ordinary,10,BUS
