gtfs_id,vehicle_no,short_name
bhubaneshwar_bus,OD33U7110,O7110
bhubaneshwar_bus,OD33U7111,O7111
bhubaneshwar_bus,OD33U7112,O7112
bhubaneshwar_bus,OD33U7113,O7113
bhubaneshwar_bus,OD33U7114,O7114
bhubaneshwar_bus,OD33U7115,O7115
bhubaneshwar_bus,OD33U7116,O7116
bhubaneshwar_bus,OD33U7117,O7117
bhubaneshwar_bus,OD33U7118,O7118
bhubaneshwar_bus,OD33U7119,O7119
bhubaneshwar_bus,OD33U7120,O7120
bhubaneshwar_bus,OD33U7121,O7121
bhubaneshwar_bus,OD33U7122,O7122
bhubaneshwar_bus,OD33U7123,O7123
bhubaneshwar_bus,OD33U7124,O7124
bhubaneshwar_bus,OD33U7125,O7125
bhubaneshwar_bus,OD33U7326,O7326
bhubaneshwar_bus,OD33U7327,O7327
bhubaneshwar_bus,OD33U7328,O7328
bhubaneshwar_bus,OD33U7329,O7329
bhubaneshwar_bus,OD33U7330,O7330
bhubaneshwar_bus,OD33U7331,O7331
bhubaneshwar_bus,OD33U7332,O7332
bhubaneshwar_bus,OD33U7333,O7333
bhubaneshwar_bus,OD33U7334,O7334
bhubaneshwar_bus,OD33U7335,O7335
bhubaneshwar_bus,OD33U7336,O7336
bhubaneshwar_bus,OD33U7337,O7337
bhubaneshwar_bus,OD33U7338,O7338
bhubaneshwar_bus,OD33U7339,O7339
bhubaneshwar_bus,OD33U7340,O7340
bhubaneshwar_bus,OD33U7341,O7341
bhubaneshwar_bus,OD33U7342,O7342
bhubaneshwar_bus,OD33U7343,O7343
bhubaneshwar_bus,OD33U7344,O7344
bhubaneshwar_bus,OD33U7345,O7345
bhubaneshwar_bus,OD33U7346,O7346
bhubaneshwar_bus,OD33U7347,O7347
bhubaneshwar_bus,OD33U7348,O7348
bhubaneshwar_bus,OD33U7349,O7349
bhubaneshwar_bus,OD33U7350,O7350
bhubaneshwar_bus,OD33U7351,O7351
bhubaneshwar_bus,OD33U7352,O7352
bhubaneshwar_bus,OD33U7353,O7353
